latitude,longitude
-0.095974,-78.420235
-0.122436,-78.468053
-0.14672,-78.493725
-0.164004,-78.480887
-0.181442,-78.495507
-0.207169,-78.483263
-0.217262,-78.513866
-0.283393,-78.560091
-0.293279,-78.476979
-0.331962,-78.445971
-0.201451,-78.440983
-0.214299,-78.43543
-0.208994,-78.428112
-0.212619,-78.404898
